"","day_of_week","total_steps"
"1","Tuesday",13162
"2","Tuesday",8163
"3","Tuesday",10694
"4","Tuesday",6697
"5","Tuesday",678
"6","Tuesday",11875
"7","Tuesday",4414
"8","Tuesday",10725
"9","Tuesday",10113
"10","Tuesday",8796
"11","Tuesday",4747
"12","Tuesday",8856
"13","Tuesday",8539
"14","Tuesday",5394
"15","Tuesday",7753
"16","Tuesday",10122
"17","Tuesday",3276
"18","Tuesday",5135
"19","Tuesday",7213
"20","Tuesday",11596
"21","Tuesday",8135
"22","Tuesday",0
"23","Tuesday",4562
"24","Tuesday",0
"25","Tuesday",10199
"26","Tuesday",14172
"27","Tuesday",11317
"28","Tuesday",18060
"29","Tuesday",9033
"30","Tuesday",7626
"31","Tuesday",5014
"32","Tuesday",2564
"33","Tuesday",23186
"34","Wednesday",10735
"35","Wednesday",7007
"36","Wednesday",8001
"37","Wednesday",4929
"38","Wednesday",356
"39","Wednesday",12024
"40","Wednesday",4993
"41","Wednesday",7275
"42","Wednesday",10352
"43","Wednesday",7618
"44","Wednesday",9715
"45","Wednesday",10035
"46","Wednesday",0
"47","Wednesday",5974
"48","Wednesday",8204
"49","Wednesday",10993
"50","Wednesday",2961
"51","Wednesday",4978
"52","Wednesday",6877
"53","Wednesday",4832
"54","Wednesday",5077
"55","Wednesday",0
"56","Wednesday",7142
"57","Wednesday",4053
"58","Wednesday",5652
"59","Wednesday",12862
"60","Wednesday",5813
"61","Wednesday",16433
"62","Wednesday",8053
"63","Wednesday",12386
"64","Wednesday",5571
"65","Wednesday",1320
"66","Wednesday",15337
"67","Thursday",10460
"68","Thursday",9107
"69","Thursday",11037
"70","Thursday",7937
"71","Thursday",2163
"72","Thursday",10690
"73","Thursday",3335
"74","Thursday",3973
"75","Thursday",10129
"76","Thursday",7910
"77","Thursday",8844
"78","Thursday",7641
"79","Thursday",108
"80","Thursday",0
"81","Thursday",10210
"82","Thursday",8863
"83","Thursday",3974
"84","Thursday",6799
"85","Thursday",7860
"86","Thursday",17022
"87","Thursday",8596
"88","Thursday",0
"89","Thursday",7671
"90","Thursday",5162
"91","Thursday",1551
"92","Thursday",11179
"93","Thursday",9123
"94","Thursday",20159
"95","Thursday",5234
"96","Thursday",13318
"97","Thursday",3135
"98","Thursday",1219
"99","Thursday",21129
"100","Friday",9762
"101","Friday",1510
"102","Friday",5263
"103","Friday",3844
"104","Friday",980
"105","Friday",11034
"106","Friday",3821
"107","Friday",5205
"108","Friday",10465
"109","Friday",8482
"110","Friday",7451
"111","Friday",9010
"112","Friday",1882
"113","Friday",3984
"114","Friday",5664
"115","Friday",8758
"116","Friday",7198
"117","Friday",7795
"118","Friday",6506
"119","Friday",16556
"120","Friday",12087
"121","Friday",14019
"122","Friday",9501
"123","Friday",1282
"124","Friday",5563
"125","Friday",5273
"126","Friday",8585
"127","Friday",20669
"128","Friday",2672
"129","Friday",14461
"130","Friday",3430
"131","Friday",2483
"132","Friday",13422
"133","Saturday",12669
"134","Saturday",5370
"135","Saturday",15300
"136","Saturday",3414
"137","Saturday",0
"138","Saturday",10100
"139","Saturday",2547
"140","Saturday",5057
"141","Saturday",22244
"142","Saturday",9685
"143","Saturday",6905
"144","Saturday",13459
"145","Saturday",1982
"146","Saturday",4744
"147","Saturday",6580
"148","Saturday",3945
"149","Saturday",7289
"150","Saturday",11140
"151","Saturday",5771
"152","Saturday",14269
"153","Saturday",14450
"154","Saturday",8301
"155","Saturday",4732
"156","Saturday",13217
"157","Saturday",4631
"158","Saturday",31
"159","Saturday",14549
"160","Saturday",9256
"161","Saturday",11207
"162","Saturday",5319
"163","Saturday",244
"164","Saturday",29326
"165","Sunday",9705
"166","Sunday",6175
"167","Sunday",8757
"168","Sunday",4525
"169","Sunday",0
"170","Sunday",15112
"171","Sunday",838
"172","Sunday",6198
"173","Sunday",5472
"174","Sunday",2524
"175","Sunday",8199
"176","Sunday",10415
"177","Sunday",16
"178","Sunday",29
"179","Sunday",4660
"180","Sunday",2268
"181","Sunday",9634
"182","Sunday",12692
"183","Sunday",655
"184","Sunday",12231
"185","Sunday",7150
"186","Sunday",7851
"187","Sunday",2497
"188","Sunday",10145
"189","Sunday",8059
"190","Sunday",0
"191","Sunday",18827
"192","Sunday",10204
"193","Sunday",2132
"194","Sunday",3008
"195","Sunday",0
"196","Sunday",15118
"197","Monday",13019
"198","Monday",10536
"199","Monday",7132
"200","Monday",4597
"201","Monday",244
"202","Monday",14131
"203","Monday",3325
"204","Monday",6559
"205","Monday",8247
"206","Monday",7762
"207","Monday",6798
"208","Monday",11663
"209","Monday",62
"210","Monday",2276
"211","Monday",11009
"212","Monday",6155
"213","Monday",8940
"214","Monday",9105
"215","Monday",3727
"216","Monday",9893
"217","Monday",5153
"218","Monday",6885
"219","Monday",8294
"220","Monday",11404
"221","Monday",14816
"222","Monday",9827
"223","Monday",17076
"224","Monday",5151
"225","Monday",13630
"226","Monday",3864
"227","Monday",0
"228","Monday",11423
"229","Tuesday",15506
"230","Tuesday",2916
"231","Tuesday",11256
"232","Tuesday",197
"233","Tuesday",0
"234","Tuesday",11548
"235","Tuesday",2424
"236","Tuesday",5997
"237","Tuesday",6711
"238","Tuesday",7948
"239","Tuesday",7711
"240","Tuesday",12414
"241","Tuesday",0
"242","Tuesday",8925
"243","Tuesday",10181
"244","Tuesday",2064
"245","Tuesday",5401
"246","Tuesday",6708
"247","Tuesday",15482
"248","Tuesday",12574
"249","Tuesday",11135
"250","Tuesday",7142
"251","Tuesday",0
"252","Tuesday",10742
"253","Tuesday",14194
"254","Tuesday",10688
"255","Tuesday",15929
"256","Tuesday",4212
"257","Tuesday",13070
"258","Tuesday",5697
"259","Tuesday",0
"260","Tuesday",18785
"261","Wednesday",10544
"262","Wednesday",4974
"263","Wednesday",2436
"264","Wednesday",8
"265","Wednesday",0
"266","Wednesday",15112
"267","Wednesday",7222
"268","Wednesday",7192
"269","Wednesday",10999
"270","Wednesday",9202
"271","Wednesday",4880
"272","Wednesday",11658
"273","Wednesday",0
"274","Wednesday",8954
"275","Wednesday",10553
"276","Wednesday",2072
"277","Wednesday",4803
"278","Wednesday",8793
"279","Wednesday",2713
"280","Wednesday",8330
"281","Wednesday",10449
"282","Wednesday",6361
"283","Wednesday",10771
"284","Wednesday",13928
"285","Wednesday",15566
"286","Wednesday",14365
"287","Wednesday",15108
"288","Wednesday",6466
"289","Wednesday",9388
"290","Wednesday",5273
"291","Wednesday",3147
"292","Wednesday",19948
"293","Thursday",9819
"294","Thursday",6349
"295","Thursday",1223
"296","Thursday",8054
"297","Thursday",0
"298","Thursday",12453
"299","Thursday",2467
"300","Thursday",3404
"301","Thursday",10080
"302","Thursday",8859
"303","Thursday",8857
"304","Thursday",6093
"305","Thursday",0
"306","Thursday",3702
"307","Thursday",10055
"308","Thursday",3809
"309","Thursday",13743
"310","Thursday",6530
"311","Thursday",12346
"312","Thursday",10830
"313","Thursday",19542
"314","Thursday",0
"315","Thursday",0
"316","Thursday",11835
"317","Thursday",13744
"318","Thursday",9469
"319","Thursday",16057
"320","Thursday",11268
"321","Thursday",15148
"322","Thursday",8538
"323","Thursday",144
"324","Thursday",19377
"325","Friday",12764
"326","Friday",4026
"327","Friday",3673
"328","Friday",5372
"329","Friday",149
"330","Friday",12954
"331","Friday",2915
"332","Friday",5583
"333","Friday",7804
"334","Friday",7286
"335","Friday",3843
"336","Friday",8911
"337","Friday",0
"338","Friday",4500
"339","Friday",12139
"340","Friday",6831
"341","Friday",9601
"342","Friday",1664
"343","Friday",11682
"344","Friday",9172
"345","Friday",8206
"346","Friday",6238
"347","Friday",637
"348","Friday",10725
"349","Friday",15299
"350","Friday",9753
"351","Friday",10520
"352","Friday",2824
"353","Friday",12200
"354","Friday",8687
"355","Friday",4068
"356","Friday",18258
"357","Saturday",14371
"358","Saturday",8538
"359","Saturday",6637
"360","Saturday",3570
"361","Saturday",2945
"362","Saturday",6001
"363","Saturday",12357
"364","Saturday",5079
"365","Saturday",16901
"366","Saturday",9317
"367","Saturday",7396
"368","Saturday",12058
"369","Saturday",0
"370","Saturday",4935
"371","Saturday",13236
"372","Saturday",4363
"373","Saturday",6890
"374","Saturday",15126
"375","Saturday",4112
"376","Saturday",7638
"377","Saturday",11495
"378","Saturday",0
"379","Saturday",0
"380","Saturday",20031
"381","Saturday",8093
"382","Saturday",2817
"383","Saturday",22359
"384","Saturday",9282
"385","Saturday",5709
"386","Saturday",9423
"387","Saturday",5245
"388","Saturday",11200
"389","Sunday",10039
"390","Sunday",6076
"391","Sunday",3321
"392","Sunday",0
"393","Sunday",2090
"394","Sunday",13481
"395","Sunday",3490
"396","Sunday",4165
"397","Sunday",9471
"398","Sunday",6873
"399","Sunday",6731
"400","Sunday",14112
"401","Sunday",0
"402","Sunday",4081
"403","Sunday",10243
"404","Sunday",5002
"405","Sunday",8563
"406","Sunday",15050
"407","Sunday",1807
"408","Sunday",15764
"409","Sunday",7623
"410","Sunday",5896
"411","Sunday",2153
"412","Sunday",5029
"413","Sunday",11085
"414","Sunday",3520
"415","Sunday",22988
"416","Sunday",8905
"417","Sunday",3703
"418","Sunday",8286
"419","Sunday",400
"420","Sunday",16674
"421","Monday",15355
"422","Monday",6497
"423","Monday",3580
"424","Monday",0
"425","Monday",152
"426","Monday",11369
"427","Monday",6017
"428","Monday",3588
"429","Monday",9482
"430","Monday",7373
"431","Monday",5995
"432","Monday",11177
"433","Monday",0
"434","Monday",9259
"435","Monday",12961
"436","Monday",3385
"437","Monday",8095
"438","Monday",9167
"439","Monday",10946
"440","Monday",6393
"441","Monday",0
"442","Monday",7802
"443","Monday",6474
"444","Monday",13239
"445","Monday",18229
"446","Monday",10091
"447","Monday",20500
"448","Monday",6829
"449","Monday",12405
"450","Monday",4503
"451","Monday",0
"452","Monday",12986
"453","Tuesday",13755
"454","Tuesday",2826
"455","Tuesday",9919
"456","Tuesday",0
"457","Tuesday",3761
"458","Tuesday",10119
"459","Tuesday",5933
"460","Tuesday",3409
"461","Tuesday",5980
"462","Tuesday",8242
"463","Tuesday",8283
"464","Tuesday",11388
"465","Tuesday",0
"466","Tuesday",9899
"467","Tuesday",9461
"468","Tuesday",6326
"469","Tuesday",9148
"470","Tuesday",6108
"471","Tuesday",11886
"472","Tuesday",5325
"473","Tuesday",9543
"474","Tuesday",0
"475","Tuesday",7091
"476","Tuesday",10433
"477","Tuesday",15090
"478","Tuesday",10387
"479","Tuesday",12685
"480","Tuesday",4562
"481","Tuesday",16208
"482","Tuesday",10499
"483","Tuesday",1321
"484","Tuesday",11101
"485","Wednesday",18134
"486","Wednesday",8367
"487","Wednesday",3032
"488","Wednesday",4
"489","Wednesday",0
"490","Wednesday",10159
"491","Wednesday",6088
"492","Wednesday",1715
"493","Wednesday",11423
"494","Wednesday",3516
"495","Wednesday",7904
"496","Wednesday",7193
"497","Wednesday",0
"498","Wednesday",10780
"499","Wednesday",11193
"500","Wednesday",7243
"501","Wednesday",9557
"502","Wednesday",7047
"503","Wednesday",10538
"504","Wednesday",6805
"505","Wednesday",9411
"506","Wednesday",5565
"507","Wednesday",0
"508","Wednesday",10320
"509","Wednesday",13541
"510","Wednesday",11107
"511","Wednesday",12422
"512","Wednesday",10232
"513","Wednesday",7359
"514","Wednesday",12474
"515","Wednesday",1758
"516","Wednesday",23629
"517","Thursday",13154
"518","Thursday",2759
"519","Thursday",9405
"520","Thursday",6907
"521","Thursday",1675
"522","Thursday",10140
"523","Thursday",6375
"524","Thursday",1532
"525","Thursday",5439
"526","Thursday",7913
"527","Thursday",5512
"528","Thursday",7114
"529","Thursday",0
"530","Thursday",10817
"531","Thursday",10074
"532","Thursday",4493
"533","Thursday",9451
"534","Thursday",9023
"535","Thursday",11393
"536","Thursday",9841
"537","Thursday",3403
"538","Thursday",5731
"539","Thursday",703
"540","Thursday",12627
"541","Thursday",15128
"542","Thursday",11584
"543","Thursday",15447
"544","Thursday",2718
"545","Thursday",5417
"546","Thursday",6174
"547","Thursday",6157
"548","Thursday",14890
"549","Friday",11181
"550","Friday",2390
"551","Friday",3176
"552","Friday",4920
"553","Friday",0
"554","Friday",10245
"555","Friday",7604
"556","Friday",924
"557","Friday",42
"558","Friday",7365
"559","Friday",9135
"560","Friday",10645
"561","Friday",0
"562","Friday",7990
"563","Friday",9232
"564","Friday",4676
"565","Friday",7833
"566","Friday",9930
"567","Friday",12764
"568","Friday",7924
"569","Friday",9592
"570","Friday",0
"571","Friday",0
"572","Friday",10762
"573","Friday",20067
"574","Friday",7881
"575","Friday",12315
"576","Friday",6260
"577","Friday",6175
"578","Friday",15168
"579","Friday",8360
"580","Friday",9733
"581","Saturday",14673
"582","Saturday",6474
"583","Saturday",18213
"584","Saturday",4014
"585","Saturday",0
"586","Saturday",18387
"587","Saturday",4729
"588","Saturday",4571
"589","Saturday",8452
"590","Saturday",5250
"591","Saturday",13238
"592","Saturday",0
"593","Saturday",8221
"594","Saturday",12533
"595","Saturday",6222
"596","Saturday",10319
"597","Saturday",10144
"598","Saturday",1202
"599","Saturday",12363
"600","Saturday",6987
"601","Saturday",6744
"602","Saturday",2503
"603","Saturday",10081
"604","Saturday",3761
"605","Saturday",14560
"606","Saturday",7135
"607","Saturday",0
"608","Saturday",2946
"609","Saturday",10085
"610","Saturday",7174
"611","Saturday",27745
"612","Sunday",10602
"613","Sunday",36019
"614","Sunday",6132
"615","Sunday",2573
"616","Sunday",2704
"617","Sunday",10538
"618","Sunday",3609
"619","Sunday",772
"620","Sunday",7399
"621","Sunday",3077
"622","Sunday",10414
"623","Sunday",0
"624","Sunday",1251
"625","Sunday",10255
"626","Sunday",5232
"627","Sunday",3428
"628","Sunday",0
"629","Sunday",5164
"630","Sunday",13368
"631","Sunday",8915
"632","Sunday",9837
"633","Sunday",2487
"634","Sunday",5454
"635","Sunday",5600
"636","Sunday",12390
"637","Sunday",1170
"638","Sunday",11419
"639","Sunday",4512
"640","Sunday",1619
"641","Sunday",10930
"642","Monday",14727
"643","Monday",7155
"644","Monday",3758
"645","Monday",0
"646","Monday",3790
"647","Monday",10379
"648","Monday",7018
"649","Monday",3634
"650","Monday",7525
"651","Monday",16520
"652","Monday",475
"653","Monday",9261
"654","Monday",10096
"655","Monday",6910
"656","Monday",7891
"657","Monday",7245
"658","Monday",9769
"659","Monday",7439
"660","Monday",4933
"661","Monday",6781
"662","Monday",0
"663","Monday",12912
"664","Monday",13041
"665","Monday",10052
"666","Monday",1969
"667","Monday",6064
"668","Monday",8469
"669","Monday",1831
"670","Monday",4790
"671","Tuesday",15103
"672","Tuesday",2100
"673","Tuesday",12850
"674","Tuesday",4059
"675","Tuesday",1326
"676","Tuesday",12183
"677","Tuesday",5992
"678","Tuesday",7443
"679","Tuesday",7412
"680","Tuesday",14335
"681","Tuesday",4496
"682","Tuesday",9648
"683","Tuesday",12727
"684","Tuesday",7502
"685","Tuesday",5267
"686","Tuesday",9454
"687","Tuesday",12848
"688","Tuesday",11045
"689","Tuesday",0
"690","Tuesday",6047
"691","Tuesday",9
"692","Tuesday",12109
"693","Tuesday",14510
"694","Tuesday",10288
"695","Tuesday",15484
"696","Tuesday",8712
"697","Tuesday",12015
"698","Tuesday",2421
"699","Tuesday",10818
"700","Wednesday",11100
"701","Wednesday",2193
"702","Wednesday",2309
"703","Wednesday",2080
"704","Wednesday",1786
"705","Wednesday",11768
"706","Wednesday",6564
"707","Wednesday",1201
"708","Wednesday",8278
"709","Wednesday",13559
"710","Wednesday",10252
"711","Wednesday",10429
"712","Wednesday",12375
"713","Wednesday",2923
"714","Wednesday",5232
"715","Wednesday",8161
"716","Wednesday",4249
"717","Wednesday",5206
"718","Wednesday",2997
"719","Wednesday",5832
"720","Wednesday",0
"721","Wednesday",10147
"722","Wednesday",0
"723","Wednesday",10988
"724","Wednesday",14581
"725","Wednesday",7875
"726","Wednesday",3588
"727","Wednesday",2283
"728","Wednesday",18193
"729","Thursday",14070
"730","Thursday",2470
"731","Thursday",4363
"732","Thursday",2237
"733","Thursday",0
"734","Thursday",11895
"735","Thursday",12167
"736","Thursday",5202
"737","Thursday",8314
"738","Thursday",12312
"739","Thursday",11728
"740","Thursday",13658
"741","Thursday",9603
"742","Thursday",3800
"743","Thursday",10611
"744","Thursday",8614
"745","Thursday",14331
"746","Thursday",7550
"747","Thursday",9799
"748","Thursday",6339
"749","Thursday",0
"750","Thursday",10524
"751","Thursday",15010
"752","Thursday",8564
"753","Thursday",14990
"754","Thursday",8567
"755","Thursday",12427
"756","Thursday",0
"757","Thursday",14055
"758","Friday",12159
"759","Friday",1727
"760","Friday",9787
"761","Friday",44
"762","Friday",2091
"763","Friday",10227
"764","Friday",8198
"765","Friday",4878
"766","Friday",7063
"767","Friday",11677
"768","Friday",4369
"769","Friday",9524
"770","Friday",13175
"771","Friday",4514
"772","Friday",3755
"773","Friday",6943
"774","Friday",9632
"775","Friday",4950
"776","Friday",3365
"777","Friday",6116
"778","Friday",4697
"779","Friday",5908
"780","Friday",11459
"781","Friday",12461
"782","Friday",13953
"783","Friday",7045
"784","Friday",5843
"785","Friday",0
"786","Friday",21727
"787","Saturday",11992
"788","Saturday",2104
"789","Saturday",13372
"790","Saturday",0
"791","Saturday",1510
"792","Saturday",6708
"793","Saturday",4193
"794","Saturday",7379
"795","Saturday",4940
"796","Saturday",11550
"797","Saturday",6132
"798","Saturday",7937
"799","Saturday",22770
"800","Saturday",5183
"801","Saturday",8237
"802","Saturday",14370
"803","Saturday",1868
"804","Saturday",0
"805","Saturday",7336
"806","Saturday",5510
"807","Saturday",1967
"808","Saturday",6815
"809","Saturday",0
"810","Saturday",12827
"811","Saturday",19769
"812","Saturday",4468
"813","Saturday",6117
"814","Saturday",0
"815","Saturday",12332
"816","Sunday",10060
"817","Sunday",3427
"818","Sunday",6724
"819","Sunday",0
"820","Sunday",0
"821","Sunday",3292
"822","Sunday",5528
"823","Sunday",5161
"824","Sunday",8168
"825","Sunday",13585
"826","Sunday",5862
"827","Sunday",3672
"828","Sunday",17298
"829","Sunday",7303
"830","Sunday",6543
"831","Sunday",12857
"832","Sunday",6083
"833","Sunday",0
"834","Sunday",7328
"835","Sunday",7706
"836","Sunday",4188
"837","Sunday",10677
"838","Sunday",22026
"839","Sunday",2943
"840","Sunday",9217
"841","Sunday",0
"842","Sunday",10686
"843","Monday",12022
"844","Monday",1732
"845","Monday",6643
"846","Monday",0
"847","Monday",0
"848","Monday",13379
"849","Monday",10685
"850","Monday",3090
"851","Monday",7726
"852","Monday",14687
"853","Monday",4556
"854","Monday",10378
"855","Monday",10218
"856","Monday",5275
"857","Monday",11451
"858","Monday",8232
"859","Monday",11611
"860","Monday",3421
"861","Monday",4477
"862","Monday",6277
"863","Monday",12342
"864","Monday",13566
"865","Monday",12465
"866","Monday",8382
"867","Monday",9877
"868","Monday",0
"869","Monday",20226
"870","Tuesday",12207
"871","Tuesday",2969
"872","Tuesday",9167
"873","Tuesday",0
"874","Tuesday",0
"875","Tuesday",12798
"876","Tuesday",254
"877","Tuesday",6227
"878","Tuesday",8275
"879","Tuesday",13072
"880","Tuesday",5546
"881","Tuesday",9487
"882","Tuesday",10299
"883","Tuesday",3915
"884","Tuesday",6435
"885","Tuesday",10613
"886","Tuesday",16358
"887","Tuesday",8869
"888","Tuesday",0
"889","Tuesday",15448
"890","Tuesday",14433
"891","Tuesday",14810
"892","Tuesday",6582
"893","Tuesday",8240
"894","Tuesday",0
"895","Tuesday",10733
"896","Wednesday",12770
"897","Wednesday",3134
"898","Wednesday",1329
"899","Wednesday",0
"900","Wednesday",0
"901","Wednesday",13272
"902","Wednesday",8580
"903","Wednesday",6424
"904","Wednesday",6440
"905","Wednesday",746
"906","Wednesday",3689
"907","Wednesday",9129
"908","Wednesday",10201
"909","Wednesday",9105
"910","Wednesday",9108
"911","Wednesday",9810
"912","Wednesday",4926
"913","Wednesday",4038
"914","Wednesday",6722
"915","Wednesday",9572
"916","Wednesday",12209
"917","Wednesday",9143
"918","Wednesday",8701
"919","Wednesday",21420
"920","Thursday",0
"921","Thursday",2971
"922","Thursday",0
"923","Thursday",0
"924","Thursday",9117
"925","Thursday",8891
"926","Thursday",2661
"927","Thursday",7566
"928","Thursday",590
"929","Thursday",17
"930","Thursday",3369
"931","Thursday",768
"932","Thursday",6307
"933","Thursday",2752
"934","Thursday",3121
"935","Thursday",3587
"936","Thursday",3789
"937","Thursday",4998
"938","Thursday",4561
"939","Thursday",0
"940","Thursday",8064
